Category Name,Customer City,Customer Id,Department Id,Department Name,Latitude,Longitude,Order City,Order Id,Order Item Quantity,shipping date (DateOrders),order_latitude,order_longitude
Fishing,Miami,85629,3,Fan Shop,34.1137352,-84.88657379,,8582,300,2016-04-10 10:44:00,25.7741728,-80.19362
Music,Chicago,20625,3,Fan Shop,29.78513908,-87.70032501,,3688,400,2016-04-10 10:44:00,41.8755616,-87.6244212
Cameras,Philadelphia,98937,3,Outdoors,41.89517212,-117.9125671,,2389,800,2016-04-15 20:22:00,39.9527237,-75.1635262
Cameras,Marion,48583,3,Outdoors,47.67869949,-118.0218811,,9966,1000,2016-04-15 20:22:00,32.7931661,-94.344488
Golf Balls,San Francisco,83380,3,Outdoors,34.06108093,-118.2007599,,5321,200,2016-04-15 20:22:00,37.7790262,-122.419906
Baseball & Softball,San Diego,45090,3,Footwear,34.03800583,-83.07437134,,7822,600,2016-04-15 20:22:00,32.7174202,-117.1627728
Tennis & Racquet,Chicago,95758,3,Fan Shop,33.93173981,-75.76576996,,6659,1000,2016-04-16 14:14:00,41.8755616,-87.6244212
Golf Bags & Carts,Austin,82450,3,Fan Shop,38.17819977,-80.19455719,,5055,300,2016-04-16 14:14:00,30.2711286,-97.7436995
Crafts,Newark,28845,3,Outdoors,34.11491013,-85.76452637,,9554,700,2016-04-16 14:14:00,40.735657,-74.1723667
Hockey,San Francisco,86779,3,Footwear,33.98547363,-104.8145828,,4187,700,2016-04-16 14:14:00,37.7790262,-122.419906
Basketball,Seattle,94949,3,Footwear,34.03800583,-118.2774735,,2870,400,2016-04-16 14:14:00,47.6038321,-122.330062
Consumer Electronics,Newark,39206,3,Outdoors,32.52082825,-87.98048401,,2538,300,2016-04-16 14:14:00,40.735657,-74.1723667
Cardio Equipment,Los Angeles,4609,3,Footwear,33.96860123,-118.2747421,Los Angeles,32455,300,2016-04-24 18:04:00,34.0536909,-118.242766
Hunting & Shooting,Los Angeles,57609,3,Apparel,29.7805748,-117.9125671,,6162,500,2016-04-24 18:04:00,34.0536909,-118.242766
Golf Gloves,San Diego,62372,3,Golf,33.94827271,-87.73634338,,8848,400,2016-04-24 18:04:00,32.7174202,-117.1627728
Water Sports,Chicago,23212,3,Outdoors,33.93173981,-122.3217621,,9072,300,2016-04-24 18:04:00,41.8755616,-87.6244212
other,Santa Ana,25110,3,Footwear,34.06108093,-80.17294312,,3586,400,2016-04-24 18:04:00,33.7494951,-117.8732213
Golf Carts,Miami,99361,3,Footwear,34.06108093,-87.73634338,,5665,200,2016-04-24 18:04:00,25.7741728,-80.19362
Garden,Marion,12482,3,Outdoors,25.88852501,-117.9125671,,6482,300,2016-04-26 17:53:00,32.7931661,-94.344488
Golf Bags & Carts,Marion,57129,3,Apparel,34.08999252,-95.51293945,,1371,300,2016-04-26 17:53:00,32.7931661,-94.344488
Cameras,San Francisco,62653,3,Apparel,34.1137352,-95.37239838,,5146,200,2016-04-26 17:53:00,37.7790262,-122.419906
Women's Clothing,Columbus,33391,3,Apparel,33.93173981,-95.47782135,,1180,500,2016-04-26 17:53:00,39.9622601,-83.0007065
Toys,Los Angeles,58433,3,Golf,33.63597488,-87.82719421,,6101,1000,2016-04-26 17:53:00,34.0536909,-118.242766
Women's Apparel,Columbus,26425,3,Fan Shop,39.70932007,-118.1542206,,3249,600,2016-04-26 17:53:00,39.9622601,-83.0007065
Cardio Equipment,Los Angeles,175,3,Footwear,34.1137352,-118.1886444,Los Angeles,32909,300,2016-04-27 09:08:00,34.0536909,-118.242766
Cardio Equipment,Los Angeles,175,3,Footwear,34.1137352,-118.1886444,Los Angeles,32909,500,2016-04-27 09:08:00,34.0536909,-118.242766
other,Aurora,96953,3,Fan Shop,34.11491013,-118.1542206,,9364,200,2016-04-27 09:08:00,41.7571701,-88.3147539
Consumer Electronics,Newark,39464,3,Fan Shop,33.69957733,-118.4061966,,5384,200,2016-04-27 09:08:00,40.735657,-74.1723667
Consumer Electronics,Newark,66544,3,Fan Shop,33.98547363,-87.70032501,,3351,900,2016-04-27 09:08:00,40.735657,-74.1723667
Hockey,San Diego,90473,3,Golf,41.895607,-95.47782135,,8588,900,2016-04-27 09:08:00,32.7174202,-117.1627728
Men's Golf Clubs,Aurora,28498,3,Outdoors,40.01562119,-118.2747421,,3077,300,2016-04-27 09:08:00,41.7571701,-88.3147539
Computers,Aurora,61482,3,Fan Shop,34.1137352,-95.37239838,,8046,200,2016-04-27 09:08:00,41.7571701,-88.3147539
Golf Balls,Chicago,72707,3,Footwear,34.03247452,-118.2574081,,5173,700,2016-04-30 03:42:00,41.8755616,-87.6244212
Boxing & MMA,Miami,78546,3,Footwear,34.0015831,-118.2007599,,1346,700,2016-04-30 03:42:00,25.7741728,-80.19362
Basketball,Philadelphia,55389,3,Apparel,40.75481033,-95.37239838,,8346,300,2016-04-30 03:42:00,39.9527237,-75.1635262
Accessories,Seattle,97904,3,Footwear,29.71482086,-95.47782135,,9044,600,2016-04-30 03:42:00,47.6038321,-122.330062
Kids' Golf Clubs,San Antonio,84331,3,Footwear,25.76825142,-118.3267975,,9498,400,2016-04-30 03:42:00,29.4246002,-98.4951405
Golf Bags & Carts,Aurora,22911,3,Fan Shop,33.94827271,-97.69873047,,6530,700,2016-04-30 03:42:00,41.7571701,-88.3147539
Tennis & Racquet,San Antonio,43165,3,Footwear,40.7018013,-122.3217621,,9534,200,2016-04-30 03:42:00,29.4246002,-98.4951405
Golf Carts,Aurora,71009,3,Outdoors,34.1137352,-95.17199707,,1013,1000,2016-04-30 03:42:00,41.7571701,-88.3147539
Men's Footwear,Los Angeles,25048,3,Footwear,34.11491013,-104.8145828,,5290,200,2016-04-30 22:16:00,34.0536909,-118.242766
CDs,Seattle,15243,3,Golf,38.17819977,-122.4407883,,4651,300,2016-04-30 22:16:00,47.6038321,-122.330062
Golf Carts,Chicago,25085,3,Footwear,41.83272171,-118.2400131,,2993,400,2016-04-30 22:16:00,41.8755616,-87.6244212
Women's Clothing,San Antonio,16255,3,Fan Shop,38.17819977,-95.37239838,,8322,200,2016-04-30 22:16:00,29.4246002,-98.4951405
DVDs,Los Angeles,32993,3,Outdoors,39.67436981,-80.17294312,,8938,1000,2016-04-30 22:16:00,34.0536909,-118.242766
Girls' Apparel,Los Angeles,92816,3,Footwear,25.76825142,-118.2747421,,9901,100,2016-04-30 22:16:00,34.0536909,-118.242766
Cardio Equipment,Los Angeles,8150,3,Footwear,34.03247452,-118.3267975,Los Angeles,33743,100,2016-05-11 13:19:00,34.0536909,-118.242766
Men's Footwear,Seattle,70204,3,Footwear,30.35012245,-118.2400131,,2947,400,2016-05-11 13:19:00,47.6038321,-122.330062
other,Los Angeles,31802,3,Fan Shop,40.75481033,-118.2007599,,5897,300,2016-05-11 22:15:00,34.0536909,-118.242766
Cardio Equipment,Louisville,41905,3,Fan Shop,25.76825142,-74.1746521,,7788,300,2016-05-11 22:15:00,38.2542376,-85.759407
Garden,Aurora,84883,3,Fan Shop,29.47656632,-75.76576996,,3978,100,2016-05-11 22:15:00,41.7571701,-88.3147539
Men's Clothing,San Francisco,37296,3,Outdoors,39.95703888,-118.1886444,,6588,100,2016-05-11 22:15:00,37.7790262,-122.419906
Fitness Accessories,Austin,65666,3,Outdoors,34.0015831,-75.08410645,,4198,500,2016-05-11 22:15:00,30.2711286,-97.7436995
Pet Supplies,Los Angeles,34197,3,Outdoors,34.06108093,-95.47782135,,7289,800,2016-05-11 22:15:00,34.0536909,-118.242766
Women's Clothing,San Diego,84989,3,Apparel,39.67436981,-87.82719421,,6011,900,2016-05-11 22:15:00,32.7174202,-117.1627728
Golf Gloves,Columbus,13202,3,Fan Shop,34.02769089,-118.2774735,,9511,900,2016-05-11 22:15:00,39.9622601,-83.0007065
Cleats,Aurora,65168,3,Golf,37.71640396,-80.17294312,,9945,400,2016-05-20 21:32:00,41.7571701,-88.3147539
Crafts,Aurora,85930,3,Apparel,34.06108093,-95.47782135,,7354,1000,2016-05-20 21:32:00,41.7571701,-88.3147539
Pet Supplies,Seattle,78742,3,Footwear,33.69957733,-118.2007599,,2813,700,2016-05-20 21:32:00,47.6038321,-122.330062
Women's Clothing,Santa Ana,77449,3,Outdoors,34.1137352,-117.9125671,,5436,800,2016-05-20 21:32:00,33.7494951,-117.8732213
Women's Clothing,Newark,41856,3,Golf,41.89517212,-83.07437134,,5943,400,2016-05-20 21:32:00,40.735657,-74.1723667
Garden,Chicago,20294,3,Outdoors,29.7805748,-122.3217621,,6147,1000,2016-05-20 21:32:00,41.8755616,-87.6244212
Women's Apparel,San Francisco,64823,3,Outdoors,32.52082825,-75.76576996,,3604,1000,2016-05-22 05:04:00,37.7790262,-122.419906
Water Sports,San Diego,91440,3,Apparel,33.63597488,-118.2431641,,9110,900,2016-05-22 05:04:00,32.7174202,-117.1627728
Water Sports,Newark,87108,3,Apparel,39.95703888,-74.1746521,,5719,200,2016-05-22 05:04:00,40.735657,-74.1723667
Men's Footwear,San Antonio,20099,3,Apparel,25.88852501,-80.19455719,,2207,100,2016-05-22 05:04:00,29.4246002,-98.4951405
DVDs,Austin,63653,3,Apparel,25.88852501,-75.08410645,,2905,600,2016-05-22 05:04:00,30.2711286,-97.7436995
Kids' Golf Clubs,San Diego,67014,3,Footwear,39.67436981,-118.0218811,,8720,400,2016-05-22 05:04:00,32.7174202,-117.1627728
Books,San Diego,65464,3,Outdoors,30.35012245,-95.47782135,,2606,700,2016-05-22 05:04:00,32.7174202,-117.1627728
Cardio Equipment,San Antonio,11387,3,Footwear,29.47656632,-98.579216,San Antonio,35154,300,2016-05-30 03:39:00,29.4246002,-98.4951405
Boxing & MMA,Houston,68633,3,Golf,40.01562119,-122.3217621,,8855,600,2016-05-30 03:39:00,29.7589382,-95.3676974
CDs,Chicago,50643,3,Fan Shop,29.7805748,-74.1746521,,9455,700,2016-05-30 03:39:00,41.8755616,-87.6244212
As Seen on TV!,Houston,76918,3,Golf,29.47656632,-98.579216,,4479,700,2016-05-30 03:39:00,29.7589382,-95.3676974
Fitness Accessories,Newark,14283,3,Fan Shop,41.89567947,-75.08410645,,3981,100,2016-06-02 02:46:00,40.735657,-74.1723667
Consumer Electronics,Marion,19734,3,Outdoors,34.03800583,-95.17199707,,7621,700,2016-06-02 02:46:00,32.7931661,-94.344488
Lacrosse,Miami,34261,3,Fan Shop,29.71482086,-74.1746521,,2071,200,2016-06-02 02:46:00,25.7741728,-80.19362
Kids' Golf Clubs,San Diego,83607,3,Footwear,33.94827271,-118.1542206,,6724,200,2016-06-02 02:46:00,32.7174202,-117.1627728
Accessories,San Francisco,23793,3,Golf,34.06108093,-87.82719421,,3383,200,2016-06-11 05:02:00,37.7790262,-122.419906
Baseball & Softball,Miami,40343,3,Apparel,40.75481033,-87.70032501,,8223,400,2016-06-11 05:02:00,25.7741728,-80.19362
Toys,San Diego,58445,3,Footwear,41.83272171,-85.76452637,,8658,500,2016-06-11 20:38:00,32.7174202,-117.1627728
Soccer,Louisville,48516,3,Fan Shop,33.93173981,-118.0218811,,1276,400,2016-06-11 20:38:00,38.2542376,-85.759407
Accessories,Columbus,45424,3,Fan Shop,33.93173981,-118.2747421,,6401,100,2016-06-11 20:38:00,39.9622601,-83.0007065
Golf Carts,San Diego,33433,3,Outdoors,33.98547363,-95.47782135,,6698,1000,2016-06-13 03:59:00,32.7174202,-117.1627728
Toys,Marion,20318,3,Golf,41.96846008,-118.4061966,,3640,100,2016-06-13 03:59:00,32.7931661,-94.344488
Music,Aurora,98959,3,Fan Shop,33.69957733,-118.3267975,,7210,300,2016-06-13 03:59:00,41.7571701,-88.3147539
Garden,Columbus,17786,3,Outdoors,38.17819977,-87.82719421,,5528,500,2016-06-13 03:59:00,39.9622601,-83.0007065
Boxing & MMA,Seattle,15352,3,Outdoors,37.71640396,-87.70032501,,9485,800,2016-06-16 11:31:00,47.6038321,-122.330062
Pet Supplies,Newark,78359,3,Golf,34.03247452,-117.1392975,,8442,300,2016-06-16 11:31:00,40.735657,-74.1723667
Books,Aurora,52670,3,Apparel,41.96846008,-80.19455719,,8946,400,2016-06-20 02:24:00,41.7571701,-88.3147539
Men's Clothing,Aurora,86292,3,Apparel,33.69957733,-87.82719421,,5230,1000,2016-06-20 02:24:00,41.7571701,-88.3147539
Fitness Accessories,San Diego,14980,3,Apparel,25.88852501,-87.69122315,,9230,200,2016-06-20 02:24:00,32.7174202,-117.1627728
Health and Beauty,Louisville,38782,3,Outdoors,33.98547363,-118.2431641,,6206,1000,2016-06-20 02:24:00,38.2542376,-85.759407
Basketball,San Francisco,45487,3,Outdoors,29.78513908,-118.3382416,,7281,300,2016-06-20 11:10:00,37.7790262,-122.419906
Video Games,Santa Ana,93302,3,Outdoors,40.7018013,-95.47782135,,3121,100,2016-06-20 11:10:00,33.7494951,-117.8732213
Cameras,San Antonio,85095,3,Apparel,29.71482086,-117.1392975,,5329,700,2016-06-20 11:10:00,29.4246002,-98.4951405
Golf Balls,Miami,54076,3,Golf,34.08999252,-118.4321518,,5993,200,2016-06-29 14:18:00,25.7741728,-80.19362
Golf Apparel,Columbus,70980,3,Apparel,39.95703888,-98.579216,,8316,900,2016-06-29 14:18:00,39.9622601,-83.0007065
Video Games,San Diego,95904,3,Apparel,40.01562119,-118.2431641,,4091,500,2016-07-05 15:52:00,32.7174202,-117.1627728
Hunting & Shooting,Los Angeles,11675,3,Golf,29.78513908,-85.76452637,,8637,700,2016-07-05 15:52:00,34.0536909,-118.242766
Women's Apparel,Austin,65024,3,Golf,41.98498154,-118.2774735,,8415,500,2016-07-05 15:52:00,30.2711286,-97.7436995
Women's Apparel,San Diego,69134,3,Outdoors,34.0015831,-118.2747421,,9942,400,2016-07-05 15:52:00,32.7174202,-117.1627728
Health and Beauty,Columbus,27721,3,Footwear,40.7018013,-80.19455719,,6816,300,2016-07-05 15:52:00,39.9622601,-83.0007065
Video Games,Santa Ana,17232,3,Footwear,34.02769089,-118.3382416,,6439,500,2016-07-07 11:19:00,33.7494951,-117.8732213
Tennis & Racquet,Seattle,97895,3,Golf,33.94827271,-118.4061966,,8027,200,2016-07-07 11:19:00,47.6038321,-122.330062
Golf Shoes,Louisville,61440,3,Apparel,25.76825142,-80.19455719,,6194,1000,2016-07-07 11:19:00,38.2542376,-85.759407
Lacrosse,Seattle,27884,3,Apparel,40.7018013,-84.88657379,,8044,1000,2016-07-07 11:19:00,47.6038321,-122.330062
Cardio Equipment,Philadelphia,7392,3,Footwear,40.01562119,-75.08410645,Philadelphia,37821,300,2016-07-08 02:01:00,39.9527237,-75.1635262
Cardio Equipment,Philadelphia,7392,3,Footwear,40.01562119,-75.08410645,Philadelphia,37821,400,2016-07-08 02:01:00,39.9527237,-75.1635262
Women's Clothing,Santa Ana,29811,3,Apparel,33.93173981,-118.4061966,,2520,200,2016-07-08 02:01:00,33.7494951,-117.8732213
Camping & Hiking,Miami,10241,3,Footwear,41.89567947,-118.4061966,,3845,500,2016-07-08 02:01:00,25.7741728,-80.19362
Golf Shoes,San Antonio,89996,3,Outdoors,29.88981438,-118.2400131,,7260,700,2016-07-08 02:01:00,29.4246002,-98.4951405
Toys,Houston,73883,3,Golf,34.03800583,-118.0218811,,2378,200,2016-07-08 02:01:00,29.7589382,-95.3676974
Men's Clothing,Aurora,30599,3,Apparel,41.83272171,-75.76576996,,3105,600,2016-07-08 02:01:00,41.7571701,-88.3147539
Golf Gloves,San Diego,54969,3,Footwear,34.06108093,-118.3267975,,8168,100,2016-07-15 09:01:00,32.7174202,-117.1627728
Golf Apparel,Houston,33954,3,Apparel,41.89567947,-95.47782135,,6640,200,2016-07-15 09:01:00,29.7589382,-95.3676974
Tennis & Racquet,Louisville,66839,3,Footwear,30.35012245,-87.98048401,,6005,1000,2016-07-15 09:01:00,38.2542376,-85.759407
Cardio Equipment,Houston,12146,3,Footwear,29.78513908,-95.37239838,Houston,38562,500,2016-07-19 21:38:00,29.7589382,-95.3676974
Men's Footwear,San Antonio,54645,3,Fan Shop,30.35012245,-95.47782135,,8137,300,2016-07-19 21:38:00,29.4246002,-98.4951405
Pet Supplies,Chicago,13301,3,Apparel,34.02769089,-118.0218811,,4043,700,2016-07-19 21:38:00,41.8755616,-87.6244212
Music,Columbus,78873,3,Golf,33.98547363,-118.3267975,,7314,600,2016-07-19 21:38:00,39.9622601,-83.0007065
Health and Beauty,San Francisco,48434,3,Outdoors,40.01562119,-118.0218811,,9635,400,2016-07-19 21:38:00,37.7790262,-122.419906
Baby,Austin,98183,3,Apparel,39.67436981,-118.1886444,,3791,200,2016-07-19 21:38:00,30.2711286,-97.7436995
Golf Gloves,Santa Ana,64499,3,Outdoors,29.78513908,-83.07437134,,1182,900,2016-07-19 21:38:00,33.7494951,-117.8732213
Golf Carts,Chicago,64330,3,Golf,39.95703888,-87.82719421,,1394,800,2016-07-21 02:53:00,41.8755616,-87.6244212
Computers,Houston,93321,3,Golf,34.02769089,-80.19455719,,3805,500,2016-07-21 02:53:00,29.7589382,-95.3676974
Women's Apparel,Seattle,46164,3,Footwear,39.95703888,-87.65660858,,6382,500,2016-07-21 02:53:00,47.6038321,-122.330062
Golf Balls,Houston,40082,3,Footwear,25.88852501,-118.1886444,,9282,500,2016-07-21 02:53:00,29.7589382,-95.3676974
Crafts,Aurora,40623,3,Footwear,34.03247452,-75.76576996,,4577,900,2016-07-21 02:53:00,41.7571701,-88.3147539
Baseball & Softball,San Francisco,96473,3,Footwear,30.35012245,-122.3217621,,5815,600,2016-07-21 02:53:00,37.7790262,-122.419906
Golf Shoes,Louisville,43483,3,Apparel,25.76825142,-83.07437134,,7942,500,2016-07-21 02:53:00,38.2542376,-85.759407
Boxing & MMA,Chicago,94135,3,Golf,32.52082825,-83.07437134,,9498,300,2016-07-21 02:53:00,41.8755616,-87.6244212
Garden,Chicago,93690,3,Fan Shop,33.94827271,-87.98048401,,5240,300,2016-07-21 02:53:00,41.8755616,-87.6244212
Tennis & Racquet,Austin,93192,3,Footwear,41.83272171,-97.69873047,,4808,100,2016-07-22 22:51:00,30.2711286,-97.7436995
Baby,Louisville,35952,3,Fan Shop,41.83272171,-104.8145828,,6309,700,2016-07-22 22:51:00,38.2542376,-85.759407
Health and Beauty,Houston,43907,3,Footwear,30.35012245,-75.22582245,,4971,600,2016-07-22 22:51:00,29.7589382,-95.3676974
Toys,San Diego,43179,3,Apparel,41.83272171,-118.3267975,,7757,1000,2016-07-22 22:51:00,32.7174202,-117.1627728
Accessories,Marion,21376,3,Golf,32.71385574,-122.3217621,,1078,700,2016-07-22 22:51:00,32.7931661,-94.344488
Basketball,Columbus,73244,3,Apparel,29.47656632,-95.17199707,,2304,500,2016-07-26 07:26:00,39.9622601,-83.0007065
Men's Footwear,Austin,50769,3,Golf,29.78513908,-98.579216,,6186,500,2016-07-26 07:26:00,30.2711286,-97.7436995
Golf Gloves,Philadelphia,47634,3,Golf,25.76825142,-118.4061966,,7748,100,2016-07-26 07:26:00,39.9527237,-75.1635262
Garden,San Diego,75487,3,Golf,29.7805748,-118.2431641,,6683,600,2016-07-26 07:26:00,32.7174202,-117.1627728
Golf Apparel,San Diego,94604,3,Outdoors,38.17819977,-84.88657379,,1019,200,2016-07-26 07:26:00,32.7174202,-117.1627728
Accessories,Santa Ana,23975,3,Fan Shop,34.03800583,-118.4061966,,1828,400,2016-07-26 07:26:00,33.7494951,-117.8732213
DVDs,Aurora,68676,3,Apparel,34.06108093,-117.1392975,,2315,800,2016-07-26 13:12:00,41.7571701,-88.3147539
Cameras,San Antonio,51846,3,Golf,29.71482086,-122.4407883,,2428,600,2016-07-26 13:12:00,29.4246002,-98.4951405
CDs,Seattle,64028,3,Outdoors,38.17819977,-87.98048401,,9706,200,2016-07-26 13:12:00,47.6038321,-122.330062
Golf Bags & Carts,San Diego,31312,3,Apparel,29.78513908,-118.3267975,,6838,800,2016-07-26 13:12:00,32.7174202,-117.1627728
Baby,Columbus,61084,3,Outdoors,25.76825142,-74.1746521,,1472,300,2016-07-26 13:12:00,39.9622601,-83.0007065
Accessories,Aurora,26720,3,Golf,33.98547363,-118.3382416,,2767,200,2016-07-26 13:12:00,41.7571701,-88.3147539
Golf Balls,Seattle,17627,3,Apparel,38.17819977,-75.08410645,,8799,300,2016-07-28 01:18:00,47.6038321,-122.330062
Golf Bags & Carts,Miami,82623,3,Fan Shop,33.63597488,-87.69122315,,9421,800,2016-07-28 01:18:00,25.7741728,-80.19362
Indoor/Outdoor Games,Aurora,66433,3,Outdoors,34.06108093,-75.08410645,,2478,1000,2016-07-28 01:18:00,41.7571701,-88.3147539
Cleats,San Francisco,69914,3,Golf,34.03800583,-75.76576996,,5525,100,2016-07-28 01:18:00,37.7790262,-122.419906
Trade-In,San Antonio,97203,3,Footwear,33.69957733,-87.82719421,,6859,500,2016-07-28 01:18:00,29.4246002,-98.4951405
Golf Carts,Austin,61822,3,Fan Shop,40.75481033,-118.2400131,,8730,400,2016-07-28 01:18:00,30.2711286,-97.7436995
Music,Santa Ana,71076,3,Outdoors,40.7018013,-122.4407883,,4717,400,2016-07-28 01:18:00,33.7494951,-117.8732213
As Seen on TV!,Santa Ana,42330,3,Apparel,33.69957733,-83.07437134,,8930,700,2016-07-28 01:18:00,33.7494951,-117.8732213
Camping & Hiking,Aurora,87232,3,Apparel,40.01562119,-118.2747421,,3794,600,2016-07-28 01:18:00,41.7571701,-88.3147539
Trade-In,Newark,42024,3,Fan Shop,41.89517212,-97.69873047,,3543,100,2016-07-28 01:18:00,40.735657,-74.1723667
Consumer Electronics,Philadelphia,43221,3,Footwear,40.7018013,-75.76576996,,9977,100,2016-08-02 21:05:00,39.9527237,-75.1635262
CDs,San Diego,37024,3,Fan Shop,34.11491013,-74.1746521,,4893,700,2016-08-02 21:05:00,32.7174202,-117.1627728
Men's Golf Clubs,Aurora,12353,3,Golf,41.89517212,-104.8145828,,3840,400,2016-08-02 21:05:00,41.7571701,-88.3147539
Women's Clothing,Chicago,57841,3,Fan Shop,41.89567947,-118.2747421,,3954,900,2016-08-02 21:05:00,41.8755616,-87.6244212
CDs,Houston,62570,3,Golf,37.71640396,-98.579216,,4961,600,2016-08-02 21:05:00,29.7589382,-95.3676974
Indoor/Outdoor Games,Austin,21741,3,Fan Shop,41.895607,-87.69122315,,7616,600,2016-08-02 21:05:00,30.2711286,-97.7436995
Boxing & MMA,Austin,71578,3,Outdoors,41.89567947,-122.4407883,,6781,1000,2016-08-02 21:05:00,30.2711286,-97.7436995
Cardio Equipment,Louisville,88835,3,Apparel,37.71640396,-117.1392975,,8714,300,2016-08-02 21:05:00,38.2542376,-85.759407
Golf Apparel,Austin,31981,3,Outdoors,40.7018013,-118.2007599,,4720,1000,2016-08-02 21:05:00,30.2711286,-97.7436995
Men's Golf Clubs,Columbus,21544,3,Footwear,40.75481033,-87.69122315,,8610,900,2016-08-04 19:20:00,39.9622601,-83.0007065
Hockey,Austin,53971,3,Outdoors,41.89567947,-74.1746521,,3594,200,2016-08-04 19:20:00,30.2711286,-97.7436995
Strength Training,Austin,10128,3,Golf,33.93173981,-98.579216,,1331,900,2016-08-04 19:20:00,30.2711286,-97.7436995
Golf Balls,Marion,70483,3,Outdoors,34.0015831,-85.76452637,,7851,600,2016-08-04 19:20:00,32.7931661,-94.344488
Books,Newark,95760,3,Footwear,34.1137352,-118.1886444,,6084,400,2016-08-04 19:20:00,40.735657,-74.1723667
Cardio Equipment,Los Angeles,6164,3,Footwear,34.06108093,-118.2774735,Los Angeles,39470,500,2016-08-05 03:44:00,34.0536909,-118.242766
Golf Gloves,Louisville,91342,3,Apparel,30.35012245,-118.2431641,,2211,1000,2016-08-05 03:44:00,38.2542376,-85.759407
CDs,San Francisco,48251,3,Golf,25.76825142,-87.73634338,,2048,500,2016-08-05 03:44:00,37.7790262,-122.419906
Girls' Apparel,Newark,64275,3,Golf,33.69957733,-75.08410645,,3694,100,2016-08-05 03:44:00,40.735657,-74.1723667
Cleats,San Diego,56919,3,Golf,38.17819977,-75.22582245,,8633,300,2016-08-05 03:44:00,32.7174202,-117.1627728
Books,Houston,40194,3,Fan Shop,29.78513908,-118.4321518,,6752,400,2016-08-05 03:44:00,29.7589382,-95.3676974
Cardio Equipment,San Francisco,43987,3,Apparel,40.75481033,-83.07437134,,5011,1000,2016-08-05 03:44:00,37.7790262,-122.419906
Video Games,Marion,52197,3,Fan Shop,29.88981438,-75.22582245,,7255,800,2016-08-08 10:55:00,32.7931661,-94.344488
